===============Số liệu TRƯỚC chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 0 + 0
SL hàng             : 0 + 0
SL NPL tồn          : 0 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
===============Số liệu SAU chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 298876 + 7
SL hàng             : 1010030 + 41
SL NPL tồn          : 33343 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
02B1	NKD01	39	644	0
02B1	XKD01	150	416	0
02B4	NKD01	37	279	0
02B4	XKD01	20	404	0
02DS	NKD01	41	179	0
02PJ	NDT01	17	0	0
02PJ	NDT05	3	0	0
02PJ	NDT06	158	0	0
02PJ	NDT08	1	0	0
02PJ	NDT11	2	0	0
02PJ	NDT16	3	0	0
02PJ	NGC01	16	46	0
02PJ	NGC11	1	0	0
02PJ	NGC13	3	6	0
02PJ	NGC15	17	0	0
02PJ	NKD01	57	123	0
02PJ	NKD05	1	1	0
02PJ	NKD11	1	7	0
02PJ	NSX01	63396	230423	29324
02PJ	NSX02	1049	3460	1307
02PJ	NSX03	25	106	28
02PJ	NSX04	307	1009	446
02PJ	NSX05	55	140	0
02PJ	NSX06	3824	10518	1318
02PJ	NSX07	3221	7884	920
02PJ	NTA04	2	0	0
02PJ	XGC01	14	28	0
02PJ	XGC15	5	5	0
02PJ	XKD08	2	2	0
02PJ	XSX01	208816	699105	0
02PJ	XSX02	5	9	0
02PJ	XSX03	1	7	0
02PJ	XSX05	91	219	0
02PJ	XSX06	4682	17873	0
02PJ	XSX07	12725	36467	0
02PJ	XSX08	48	165	0
02PJ	XTA07	5	24	0
02PJ	XTA18	4	17	0
32KF	XSX01	3	16	0
32KF	XSX07	2	22	0
32KF	XTA07	1	2	0
33PD	XSX01	1	1	0
47NB	NKD01	2	2	0
47NB	NSX01	14	432	0
47NB	XGC01	1	1	0
47NB	XSX01	14	28	0
60PA	XGC01	1	1	0
