===============Số liệu TRƯỚC chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 0 + 0
SL hàng             : 0 + 0
SL NPL tồn          : 0 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
===============Số liệu SAU chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 552995 + 1
SL hàng             : 7667072 + 1
SL NPL tồn          : 0 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
02F1	NSX01	7	34	0
02F1	NSX02	2030	7810	0
02F1	NSX03	14634	150651	0
02F1	NSX04	10351	37985	0
02F1	NSX06	3160	6245	0
02F1	NSX08	27	379	0
02F1	XSX01	2	31	0
02F1	XSX02	1555	10549	0
02F1	XSX03	41944	1359096	0
02F1	XSX04	102	1488	0
02F1	XSX06	2486	29840	0
02F1	XSX08	350	1049	0
02F2	NSX02	127	449	0
02F2	NSX03	6919	117078	0
02F2	NSX04	7831	252901	0
02F2	NSX06	1388	9181	0
02F2	XSX02	1154	5455	0
02F2	XSX03	12036	251044	0
02F2	XSX06	4623	61083	0
02F3	NSX01	2	29	0
02F3	NSX02	53679	251658	0
02F3	NSX03	39941	201501	0
02F3	NSX04	6615	73120	0
02F3	NSX06	821	19974	0
02F3	NSX08	1	4	0
02F3	XSX01	1	3	0
02F3	XSX02	13743	68967	0
02F3	XSX03	34283	211319	0
02F3	XSX05	1721	6422	0
02F3	XSX06	577	7407	0
02F3	XSX08	429	1433	0
02XE	NSX01	9	53	0
02XE	NSX02	2	5	0
02XE	NSX03	80809	1817839	0
02XE	NSX04	38919	223595	0
02XE	NSX05	161	1050	0
02XE	NSX06	8262	73990	0
02XE	NSX08	20	46	0
02XE	XSX01	3	15	0
02XE	XSX03	129770	1727968	0
02XE	XSX04	1	1	0
02XE	XSX05	137	548	0
02XE	XSX06	31857	675145	0
02XE	XSX08	475	2169	0
47NB	NKD01	2	2	0
47NB	NSX01	14	432	0
47NB	XGC01	1	1	0
47NB	XSX01	14	28	0
60PA	XGC01	1	1	0
